X,Y
23.6915079,37.966896
23.6918684,37.9675193
23.692363,37.9676512
23.6928417,37.9677788
23.6927657,37.967967
23.6927688,37.9679936
23.6927871,37.9680272
23.6931618,37.968477
23.6936548,37.9686108
23.6939532,37.9686896
23.6943354,37.96879
23.6961674,37.96927
23.6972242,37.9695565
23.6979899,37.969769
23.6981965,37.9698325
23.698454,37.9699086
23.698449,37.970048
23.6985517,37.9700781
23.6987192,37.9701273
23.6988835,37.9701831
23.6991613,37.9702831
23.6992996,37.9703386
23.6995347,37.9704296
23.6999024,37.9705919
23.7002152,37.9707367
23.7006073,37.9709476
23.7009652,37.9711506
23.7013439,37.9713876
23.7016006,37.9715535
23.7017658,37.9716751
23.7019684,37.9718446
23.7021454,37.9719748
23.7025396,37.9722807
23.7026229,37.9723462
23.703059,37.9727376
23.7034758,37.973095
23.7047662,37.9742177
23.7048369,37.9742018
23.7048868,37.9741533
23.7053048,37.9745714
23.7055489,37.9748247
23.7058388,37.9750872
23.7060062,37.9752388
23.7061127,37.9752423
23.706192,37.9752415
23.7063859,37.9752374
23.7067305,37.9752348
23.7069497,37.975056
23.7072863,37.9752878
23.7077228,37.975357
23.7079687,37.9753965
23.708332,37.9754533
23.7088157,37.9755281
23.7089874,37.975374
23.7095533,37.974897
23.7103482,37.9754271
23.7105163,37.9755392
23.7107524,37.975693
23.7109086,37.9758022
23.7111211,37.975962
23.7113652,37.976128
23.7114523,37.9761872
23.7115342,37.9762337
23.7115137,37.9761642
23.7115181,37.9760846
23.7115431,37.976038
23.7115732,37.9760054
23.7116093,37.9759768
23.7116914,37.9759272
23.7120052,37.9759314
23.7122601,37.9759347
23.7129573,37.975944
23.7130725,37.9759455
23.7133566,37.9759493
23.7135772,37.9759924
23.7136571,37.9760508
23.7137,37.9761121
23.7137268,37.9761755
23.7137306,37.976186
23.7139469,37.9761569
23.714001,37.976294
23.7139655,37.9764229
23.7140401,37.9764688
23.7143371,37.9766566
23.7144354,37.9767207
23.7145436,37.9767849
23.7146101,37.9768223
23.7146756,37.9768577
23.7147858,37.9769087
23.7148606,37.97694
23.7149385,37.9769674
23.7150222,37.976998
23.7152064,37.977059
23.7152404,37.9770696
23.7152986,37.9770878
23.7155112,37.9771561
23.7160691,37.9773354
23.7162513,37.9773939
23.7162786,37.9774052
23.7162977,37.9774213
23.7163074,37.9774324
23.7163138,37.9774436
23.7163168,37.9774575
23.7163188,37.9774702
23.7163169,37.9774839
23.7164173,37.9775144
23.7164367,37.97752
23.7164447,37.9775224
23.716763,37.9776152
23.7167562,37.977803
23.7169314,37.9778154
23.7171904,37.9778326
23.7172957,37.97784
23.7174142,37.9778449
23.7175007,37.9778478
23.7175616,37.977848
23.7176238,37.9778473
23.7177053,37.9778443
23.7177578,37.9778406
23.7178318,37.9778339
23.71885,37.977696
23.719309,37.9776336
23.7194025,37.9776215
23.7197882,37.9775716
23.7199513,37.9775504
23.7201664,37.9775201
23.7202229,37.9775103
23.7204425,37.9774735
23.7207615,37.977261
23.7211406,37.9770084
23.7211071,37.9768849
23.7213658,37.9767373
23.7217975,37.9764854
23.7219339,37.9764072
23.7220056,37.9763687
23.7220729,37.9763379
23.7221392,37.9763121
23.7222409,37.9762808
23.7225068,37.9761999
23.7229166,37.9760679
23.723108,37.9762795
23.7231892,37.9763944
23.7235297,37.9763597
23.7235377,37.9763567
23.7237459,37.9762789
23.7238965,37.9762389
23.7240504,37.9762117
23.7242826,37.9761876
23.7245101,37.9761677
23.7247429,37.9761588
23.7247428,37.9761389
23.7247422,37.975977
23.7247417,37.9758633
23.7247159,37.97583
23.7249404,37.9757876
23.7252366,37.9757245
23.7254632,37.9756729
23.725712,37.9756083
23.7254442,37.975151
23.7259699,37.9750223
23.7264948,37.9748947
23.7265759,37.9750347
23.7266166,37.9750701
23.7267403,37.9750637
23.7271989,37.9750228
23.7272606,37.9749959
23.7277227,37.9748159
23.7284756,37.9745375
23.7287584,37.9744392
23.7291059,37.974316
23.7292166,37.9742648
23.7294053,37.9744085
23.7294703,37.9744371
23.73012,37.9745965
23.7307128,37.9746494
23.7307996,37.9746572
23.7312577,37.9747009
23.7315189,37.9747155
23.7318887,37.9747414
23.7322932,37.9747605
23.7325403,37.9747551
23.7328634,37.9747346
23.7331373,37.9747037
23.733214,37.9751396
23.7336175,37.9750802
23.7338151,37.9750619
23.7339441,37.9750576
23.7340756,37.975054
23.7340189,37.9751765
23.734009,37.9751994
23.734001,37.9752226
23.7339921,37.975251
23.7339832,37.9752873
23.7339806,37.975304
23.7339769,37.9753354
23.7339752,37.975357
23.7339735,37.9753797
23.7339721,37.9754029
23.7339708,37.9754409
23.7339715,37.9754779
23.7339743,37.9755271
23.733998,37.9756885
